date,Timestamp,reviews,star,response
"Jun 27, 10 12:03",27/06/10,"No negatives at all. Good trust, & good technologies. More branches.good atm service, mobile banking, internet banking, & employees know more about banking than any other bank's staffs. I closed my union bank account & opened a new account in sbt frm 1995 onwards.now i am proud to be a customer in sbt.they keep a long tradition of trust with we malayalees.

When we have any doubt.just have to call the branch only. Even the boys sitting in counters know much than the managers of icici, hdfc & south indian bank.

Also no hidden charges at all.

Our money is safe in sbt.",5,2
"Mar 5, 11 2:58",05/03/11,"I recommend SBT only if you are using their branch networks and ATM for your banking needs. I had a horrible experience in setting up my internet banking. The kit provided from branch never worked and I was never able to login the initial username and password combination. However the third kit worked!

Another problem is with fund transfer. As an added security measure each time you perform a fund transfer to third party, an sms is sent to your mobile with a pin. This pin is required to complete the online third party fund transfer. Imagine if you are overseas and If you are not using International Roaming, you simply cannot perform this operation. There are other advanced ways of implementing security and I do not consider password+ sms Pin combination as an ideal solution.

I also joined a super surplus account with the bank - this is a variable recurring deposit scheme where you can set a base amount and invest up to 10 times the base amount each month subject to a single deposit per month. However after couple of months, I found out that the maturity amount in your account is always based on the base amount you have chosen initially. This doesn't change even though you make regular remittances each month. Finally you will reach a stage where your actual balance in the account is much higher than the calculated Maturity Amount shown in the portal.

In summary, I recommend SBT for IN BRANCH Banking and ATM networks, but not at all ideal for people who depend mainly on internet banking. There are more software glitches in the portal, and better they fix it. Customer complaints raised from internet banking portal are never answered. Branch Managers are welcoming and want to establish a personal relationship with you.but the technology is spoiling this relationship and Managers are helpless!",1,-2
"Mar 7, 11 5:54",07/03/11,"I am tempted to post my comments on SBT's performance after reading the reviews of Mira Gopal and Deeb.  A Bank's customer service cannot be judged by the poor response of a couple of its Branches.  My experience with SBT's Pune (Deccan Gymkhana) Branch on our housing loan application was overwhelming.  In June 2003 when I decided to buy a new house in Pune during my vacation which was to be over in a week.

I first approached Canara Bank's Branch where I had my NRE Account since 1983 with some good amount of Fixed Deposits, the Bank Manager told me that it will take 3 weeks to one month for approving my housing loan application (only 40% of the total cost) by its Head Office in Bangalore.  I became very upset since I would not be able to book the house before completion of my vacation.  Luckily I met my friend in the Bank who had come for his Company's work and he advised me to go to SBT's Pune Branch in Deccan Gymkhana.  In fact, being out of India for a long time.

I was not aware that there exists a Branch of SBT in Pune.  Straight away I and my wife proceeded to the Branch. On meeting the officer processing the housing loan and explaining the purpose of our visit to the Branch, he immediately took us to the Chief Manager.  The chief manager gave a patient hearing to our requirement and immediately called the concerned officers/staff to his chamber and passed necessary instructions to process our housing loan application  urgently by obtaining all required documents from us and the builders. He also obtained our authorization letters to transfer our fixed deposits held with Canara Bank and SBT Pattambi to SBT's Pune Branch upon their respective maturity dates.  We were surprised to see the concerned staff's' initiative in obtaining the required documents including the clearance from their legal adviser for processing our housing loan application on a record speed.  Believe it or not, the loan was approved just in 4 days and a letter to that effect was given to us for submitting to the builders for registration of the property  in our names. Thus we completed all the formalities before we returned to resume duty as per our original schedule.  Hats off to SBT's Pune Branch as without their support we couldn't have had our dream home come true!!!",5,2
"Jul 18, 11 1:51",18/07/11,"While SBH website claims to provide support to setup Dairy projects, I experience reality when I visited my local branch for a loan of 5 lakh rupees to setup a mini Diary unit. When I spoke to the Field officer & Manager, I had 1Lakh rupees in my account, 50k in my mothers account . My fathers Savings account has been with SBH for last few years. I was ready to give about 30 acres of land as security.

My requst for loan was not accepted and the manager asked me to deposit 2.5 lakhs as FD for 5 years. What kinda rule is this? Such arm twisting tactics should not be entertained and strict action should be taken against this manager. How can he link giving a loan to ask for Fixed deposits.

While governments make tall claims about giving support to farmers, these schemes are only on paper and do not reach the intended.

Very very disappointed with SBH and am going to close all my family accounts immediately.

Regards,

VNR",1,-2
"Aug 26, 11 11:13",26/08/11,"Dear Folks,

I went to open an account in SBT branch, they asked me to provide Ration card copy to open the account!

I went with the proof such as PAN card, Voters ID, Passport (all with originals). There were no ears for the tax paying Indian to open an account here.

I wanted to lodge a complaint, but then left it and went back home. Never tried opening an account here again. Will never be there to waste time.

Regards.",1,-2
"Sep 8, 12 9:10",08/09/12,"As per my experience SBT has lost its pioneer in public sector due to their poor customer service and increased loan rates.Compared to other public sector banks, now this bank is charging loan rates very high.I had obtained a home loan from SBT at their spl home loan rate of 8 %.After 3 years they increased rate to 14.5%. I happened to know this only because I have Internet banking .The bank will not inform the customers .So what will happen to other people who don' t have Internet banking.Also that 14.5% they charged was mistake.Only after contacting their nodal home section they reduced the rate to 12.75%.

A public sector bank doing like this is shameful. SBT can be privatised now.",1,-2
"Sep 24, 12 5:18",24/09/12,"I had CIBIL report. Well, my ITR-4 was matching their criteria. The harassment was about Guarnator Requirements. They are giving the loan on car by hypothecating to their bank.

And even manager came for verification after satisfaction he is ready to provide loan. But harassment to get an Guarantor in this world where can you find one who gives all their financial details for us and come to bank and wait for it.That part is very Bad ther staffs are ver rude,",2,-1
"Feb 3, 13 8:47",03/02/13,"It's a good bank to have account with!!!! I have opened an account with sbt bank, hosur branch about 1 year back FEB 2012. The service provided by them is excellent. The staffs in the branch are very few, but the service they give is very outstanding.

Once I lost my ATM card, I went and I informed about the incident. Immediately they blocked the card and applied for a new card. They have given me internet banking, mobile banking. The staffs are very cordial, especially the cashier of the branch he always greets with a smile in his face and provides all the information I seek from him. Even the accountant helps me to do the banking with ease.

I have never seen a service like this, in any other banks including pvt banks. I hold my company salary account with icici I am planning transfer all my account to sbt.

Keep it up!!!!!",4,1
"Feb 8, 13 5:19",08/02/13,"I took a car loan from SBP (State Bank of Patiala), I thought it is govt bank so there will not be any deception. But I was totally wrong. They gave me a nice loan package of 9.5% in 1st year and 10.5% in subsequent years. As soon I took the loan, within few months the rate of 9.5% went to 11% and now as I entered the second year it got increased to 12%. When I complaint about this, they said it is floating and it was based on card rate.

Please note that for new customers the card rate is different (effective ROI is 11.25%)",1,-2
"Apr 23, 13 4:23",23/04/13,"I had an SBH account in Warangal district (Andhra Pradesh) which I have been maintaining from 2009. Initially I have registered my account with a mobile number that which I have lost, and I had been relocated to Bangalore.

Internet banking is the only facility provided by SBH to do online transactions that which need a registered mobile number mandatory to which they will send a high security pin. So I have tried in many ways to change my mobile number in online but the only way is to apply manually in that particular branch only.

So I went to my branch and requested them by submitting a request letter to the branch manager. After few days what I have observed is I am receiving an SMS alerts when I withdraw money from ATM's or when I use my card at POS terminals but they didn't change my mobile number for Internet banking.

Even I have raised few tickets in online from my account  from 2011 still they were in Queue.

Ticket Status

Ticket   Name Nature of Issue Ticket logged on     Status

1307434Mr. Axx Sxxxxxxxxx S/O Jxxxxxxxxx Unable to set mobile number     23/04/2013     In Queue

1205548Mr. Axxxxxxxxxxx S/O Jxxxxxxxxxxx OnlineSBI on Mobile Related Issue 26/01/2013 In Queue

835160 Mr. Axxxxxxxxxxxx S/O Jxxxxxxxxxxxxxx     Unable to set mobile number     19/11/2011     In Queue",1,-2
"Jul 9, 13 5:47",09/07/13,I can vouch for SBT any given day. The staff are very friendly and understand banking. No hidden charges. They will never surprise you. You may not see people chasing you for products but for real banking needs this one just works. Muralidhar P.G.,5,2
"Aug 6, 13 6:24",06/08/13,"Staff behavior is very bad and feels like getting into police station. We should be on our knees before the staff for getting our services. They behave like we are there for their benevolence. They don't know how to behave towards their customers. Sbt would consider the characters of the staffs before considering them.

Customers are getting a feeling that the sbt employees are getting a police training to squeeze the customers with their words. The employees of sbt don't know the services and the behavior of the new generation banks. Customers definitely migrate to new generation banks because of the bad behavior of the staff.",1,-2
"Dec 2, 13 7:51",02/12/13,"I went to open an account in this bank today. To my surprise, the bank person told me that they are not opening any new account. When i asked why, he replied very rudely and without even looking at me, said that the person who used to open accounts has been transferred. And for more information, he asked me to check with the manager.

I went to branch manager(Hemalata Shetty), getting her name was real difficult as she had hidden her name plate and she was not revealing her name as if it was top secret. She said they won't open any more account as they already have enough and she is not sure when they will start opening new accounts. thaI told her that as a customer, this is not the answer i was expecting from her. She got rude and told me that this is the response she received from her higher ups.

When I asked for what are the documents we need, she replied ""You don't know what documents are required and you want to open an account ?"" And as i told getting her name was real difficult. She did not give her name and when i actually got her name from her name plate hidden on her table, she said you want to complain, go ahead and i will see how you open an account in this branch.

These people should know that we are the customers and if we don't do business with them, they will not get their salaries. But they behave in a way that they are giving money to all customers from their pocket. Very SAD.",1,-2
"Apr 24, 15 6:31",24/04/15,"State Bank of Hyderabad has - Retail Assests Central Processing Centre. This is a centre where in the loans are processed, where the documents and relevant requirements gets validated. Many of us know that SBH belongs to the extended family of State Bank of India. We all know that "" Chanukaya "" said Yatha Raja tatha Praja. simillarly we cannot expect some thing extra customer care from SBH when Parent company SBI is totally unfriendly.

Although the technology has been adopted to be competitive with other private banking companies. I think the competency and skills are not updated or very lithergic. The branch is provided with Customer care number with EPBAX facility. Whenever you call on that number, within 2 rings, the call gets connected and gets connected. Then you end the call, in the fear of getting higher mobile bill or calling charges. The thought that came to my mind was to need to redefine RAPC

R - Response should we provide?

A - Accountable to whom?

P - Politeness, something hearing for the first time?

C - Customer - we never care! Even after 10 tries, you will never gets connected to the person or any one pick up the call and answer your quires. Still we need this? The interest rates at SBH is high, still being an public sector, having faith people try to bank with no response!

SBH - Listening? or just another frustration.",2,-1
"May 17, 15 12:01",17/05/15,"I went to this bank to apply for a personal loan as I am having a requirement of 2, 00, 000 lakhs rupees for my some personal use . When I met the personal loan executive he explained me every thing regards to my Loan eligibility amount, tenure for loan, Emi structure and interest part in such a way that I would really appreciate that being a government sector bank but their executive is well trained and professionally having good knowledge to make customer easy to understand.

Also he submits my loan file and get approval letter with in 3 days and also he helped me with his Banks phone banking help line number for any kind of assistance required.He also assist me with the information of internet banking where I can easily do transactions from any where with the help of this facility. Also the other banking staff were courteous among the customer who were inquiring.

I beleive that this bank can be a partner for life for those who want to secure their investment's or savings",5,2
"Jun 19, 15 9:29",19/06/15,"SBB or SBJ is one of the branches of SBI but it has lots of difference. We had a account which we had discontinued due to many reasons.

As expected this is a government bank and hence the bank takes it own to complete the process and hence they lack in competition with other banks or private banks in terms of sales, service and staff attitude.

Without mentioning the name of the branch I would like to share my bad experiences which in terms was bad with the individual person in the bank who takes care of my transaction. I had a very good rapport with executive of the SBB not as soon as it was changed I faced lots of issue in terms of operating my account daily.",2,-1
"Jul 16, 15 3:19",16/07/15,"Very Bad Banking Experience with SBH BANK shirdi branch.I have an account in ur bank after 3years but some bad reasons

Yesterday I was closed my SB account from ur Shirdi Branch. Reason:Slow Banking Services.

CO-OPERATION MISSED.

I suggest u. Plz Improve ur Banking Service in shirdi branch because its too slow n unacceptable",1,-2
"Jul 31, 15 8:21",31/07/15,"I have opened my ac in sbh recently and applied for an ATM card. my bank ac was created at the same moment when I applied, but my atm card took around 20-30 days to arrive my home. I dont know how much other bank atm card takes time, but I was dissappointed bcoz it took alot of time to arrive. Once it arrived I was happy with it services and there are many atm of State Bank, so I can easily withdraw money whenever there is a need. Whenever I use atm card online it sends me notifaction about online purchases. I got a message when I had mistakenly entered wrong pin in atm machine.

whenever I have any doubts regarding my bank ac I call them and they are there all the time to help.

Finally, im happy with this bank and I recommend to others too.",5,2
"Aug 3, 15 8:38",03/08/15,"Hi friends I am a customer  State bank of patiala  from many years.There are Moonak branch of state bank of patiala which is near to us .

All types are loans of state bank of Patiala has so low interest rates including Home loans, Car lonas.All the employees of bank are polite, there are so many uneducated persons which often come to the bank all emloyees satisfied those persons properly.

I am doing MCA and I have also taken study loan.It is a bank which care about it custmoers.The ATM service of this bank is everywhere because of VISA cards, we can use this card for online purchase even international level.",4,1
"Aug 19, 15 10:35",19/08/15,"Hi friends I am going to tell u about bank of State Bank Of Hydrabad

I is a nationasied bank.

its service is too good

I complet turn over on time .

Iis speared all over the india.

I provide loan for short or far time.

the employer behave friendly to the cos

 Review, process, close and administer loan proposals.

 Interview applicants and request specified information for loan applications.

 Analyze applicant financial status, credit, and property evaluation to determine feasibility of granting loan and submit application to credit analyst for verification and recommendation.

 Correspond with and interview applicants or creditors to resolve questions regarding application information.

 Prepare loan appraisals within specified limits for referral to sanctioning authority for approval.

 Ensure loan agreements are complete and accurate according to policy.

 Maintain database and monitor performance of loans.

 Analyze potential loan markets to develop prospects for loans.",4,1
"Aug 19, 15 12:14",19/08/15,"Hi friends I am going to tell u about sbp(State Bank of Patiala).

 Review, process, close and administer loan proposals.

 Interview applicants and request specified information for loan applications.

 Analyze applicant financial status, credit, and property evaluation to determine feasibility of granting loan and submit application to credit analyst for verification and recommendation.

 Correspond with and interview applicants or creditors to resolve questions regarding application information.

 Prepare loan appraisals within specified limits for referral to sanctioning authority for approval.

 Ensure loan agreements are complete and accurate according to policy.

 Maintain database and monitor performance of loans.

 Analyze potential loan markets to develop prospects for loans.",5,2
"Aug 27, 15 2:21",27/08/15,"State bank of patiala is the best bank for all peoples, The service of this bank is really nice and faster with best security for funds. As fir government banks I recommended it to joining account here to extra benifits of ur savings.

The legacy of this bank is proved by government of india. It is the best bank ever.",4,1
"Sep 22, 15 4:17",22/09/15,"I have an account with SBBJ Bank which is a salary account opened through our office. I have also opt for their Internet Banking facility and online banking sbbjonline.com .

They usually offer nice service and whenever I transact through this bank I receive the OTP on time. One more thing which is worth mentioning here is that they regularly update their website and enhance their security system to prevent fraudulent. They have recently started dual password system which is an added security feature in their system.

I usually do all my transaction from their online banking and it is acceptable everywhere including Paytm, Mobikwik and freecharge.

I also opt for Pradhan Mantri Jeevan Bima Yojana through their online banking facility and did not go to bank and done it from the ease of my office. I am very satisfied with their service.",4,1
"Sep 23, 15 7:04",23/09/15,"I am using sbh since 5 years.i had faced some minor problems by this bank but over all it is good at ts services.

I had opened savings account in it and applied for atm card which came in 20 days.

I like this bank for its internet banking service which really faster one.

The only drawback of this bank is they cut down money in the name of service tax without informing.however the tax is lesser one.

I recommend this bank for its faster services.",4,1
"Oct 5, 15 8:55",05/10/15,"I own two separate accounts. One in Chennai K.K.Nagar and the other in Bangalore. Their customer service has been excellent.one good thing is there won't be much crowd in the Bank as only few are aware or interested in SBT. The services they offer is way above private and other banks.

The way they treat the customers, their knowledge about the products and the willingness to help customers are too good.Hope they continue the same when they have too many customers in the future.

This is one of the best Public Sector Bank and lot better than SBI where they're not bothered about the customers.

I have ulitised all of their services Internet banking, Phone banking, re-issue of Debit cards etc.

Everything has happened within days of request and charges are also very minimal.

This is the best among the SBI subsidiaries.",5,2
"Oct 6, 15 10:15",06/10/15,"Well, I been a long time SBT customer with a NRE account and today wanted to transfer some money to my family member for an emergency.It took 15 to 20 minutes to receive OTP password which happened four times! tried to contact their online banking customer care via given telephone number which ended up in automated welcome message, no one ever attended the call.

What kind of service they are offering? Are they serious about the business? or trying to push customers to new gen banks as the KSRTC and other public limited companies doing inKerala?",1,-2
"Oct 6, 15 12:19",06/10/15,"SBBJ is a associat bank of SBI. it is one of the finest bank in special rural and urban areas. it has many account holder which takes its benefits. many people has opened their account in jan dhan yojana at SBBJ because it is fully connect to Govt. of India.

It has many facilities for its account holder. it provided FD plans with good interest and home loan and car loan in lowest interest. it also provided Atm banking for its account holder. it also provide credit card to purchase many items. it gives net banking for its account holder which use it for many purpose and Rtgs and Neft. all the service of this bank is superb and best.

It has many Atm counter in all states in india where people withdrawal their amount. Its employees is very good they very well treat its Customer and describes all plans and scheme about banks. I have also account in this bank at my village. I recommend to it.",5,2
"Oct 14, 15 3:06",14/10/15,"I have account in this bank and very much impressed with its service. They are best in customer service. I have savings account in this bank and loan processing was quick and easy. they have upto date banking facilities for quick transaction of funds.

Net banking was easy and there are many atm centres across for easy withdrawal of funds. Deposit schemes with total security& convenience along with attractive and assured returns.the staff really helps us to process with atmost care and friendly behaviour. the staff help to fill forms and quickly process loan applications. Overall its best bank.",5,2
"Oct 25, 15 9:54",25/10/15,"In my locality SBBJ BANK is working extremely well.

My account is also in it.

It gives all the facilities to me free for first year.

Sbbj bank is also useful for the students all over india.

I think this is the leading bank of Rajasthan.

Although it provides many facilities yet it needs more improvements for better customer satisfaction.

By the way its working fine for its aim to reach every individual for helping by its way.

Its suitable for all type of communities and categories all over in india.

Best of luck SBBJ.",5,2
"Oct 30, 15 6:14",30/10/15,"At the mercy of the crook goldsmiths employed by the nationalised banks. It is really pathetic that century old gold valued as 18 carat and the gold loan amount valued at a lesser rate. As a staff I enjoyed 80% of the market value without differentiating the carat value. But now as a customer I am faced with bias and grudge. The goldsmith are deliberately categorising under the 18 carat gold unlike previous times. It is because of the common Union enjoyed by all the banks.

The photos show that my 14.200 gms gold treated as 18 carat and valued accordingly. It is simply horrible to be discriminated out of bias and grudge just because the spouses in my family are not in good terms with me so as to influence these financial institutions against me. I guess RBI is the remedy.",2,-1
